n_citation,x_tsne,y_tsne,x_1_topic_probability,dominant_topic,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19
935,-2.7474265,-33.56899,0.3266234678026883,13,0.0,0.1358465197655074,0.0,0.0411963992998141,0.0,0.12817988222006882,0.07802323185985235,0.0,0.0,0.0,0.0,0.0,0.05591625640160718,0.3266234678026883,0.0,0.15123466561628673,0.07791700350277131,0.0,0.0,0.0
0,10.803413,-29.127838,0.330540651360191,1,0.0,0.330540651360191,0.10462148267952888,0.0,0.18532700686400227,0.11112643498499188,0.0,0.0,0.0,0.0,0.05015922601044273,0.16954280309096645,0.0,0.0,0.014511854927539826,0.0,0.0,0.0,0.024272431323595047,0.0
51,-37.199020000000004,-5.4668665,0.5242911829736621,8,0.0,0.0,0.06851623278255099,0.11823593682452226,0.0,0.11715794878867986,0.0,0.0,0.5242911829736621,0.0,0.0,0.0,0.013362177416845368,0.0,0.0,0.0,0.1462599586421988,0.0,0.0,0.012176562571540595
1,-41.99734,-1.9982028000000003,0.7008957517418819,8,0.014013447443202143,0.062128316904920974,0.0,0.0,0.0,0.0,0.0,0.0,0.7008957517418819,0.0,0.0,0.0,0.0876389810306676,0.0,0.0,0.0,0.0,0.1286028745059793,0.0,0.0
12,-23.089529000000002,23.477169,0.3600715929150618,18,0.0,0.0,0.08540767631350776,0.07396246533110677,0.0,0.0,0.03310224625718451,0.0,0.01121759966099729,0.09629013016219773,0.05266165118170976,0.0,0.03224054775027289,0.024032437349818768,0.0,0.0,0.20630345351110094,0.02471019956704184,0.3600715929150618,0.0
24,46.947006,-18.399372,0.8469933798352591,2,0.0,0.11065947160612888,0.8469933798352591,0.03757780198264499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,39.40593,-7.864526,0.4445995625748617,2,0.0,0.0,0.4445995625748617,0.0,0.19849283027734305,0.056177092458961776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14597995719253148,0.0,0.14702043195497055,0.0,0.0,0.0
46,4.062785,-21.937563,0.466279144932732,3,0.0,0.0,0.0,0.466279144932732,0.18241914368056225,0.0436111390901484,0.05304495419929736,0.0,0.0,0.05443660198244445,0.0,0.011820124964918004,0.0,0.0,0.0,0.0,0.0,0.17675105594607987,0.0,0.0
10,38.700720000000004,20.531906,0.6746957912978204,6,0.0,0.0,0.02087675155517999,0.0,0.0,0.0,0.6746957912978204,0.0,0.0,0.0,0.1322400033561544,0.05596594081931981,0.012341869907091515,0.0,0.0,0.08328647347951659,0.0,0.02059316958491735,0.0,0.0
4,7.027168,-18.873148,0.3082356010572445,4,0.0,0.11085707674182607,0.0,0.3057505060615461,0.3082356010572445,0.07870764729588736,0.0,0.0,0.0,0.0,0.0,0.11764221232918386,0.0,0.07880695651431217,0.0,0.0,0.0,0.0,0.0,0.0
8,-42.21017,11.305150999999999,0.2847658721657001,19,0.0,0.0,0.12594775853953954,0.18724749462580664,0.0,0.0,0.0,0.0,0.0,0.02773764783164469,0.0,0.09714111786756724,0.01729335840617199,0.0,0.0,0.08062610518460665,0.0,0.0,0.1705450668674901,0.2847658721657001
19,-9.223561,-24.513582,0.4699717269292546,13,0.0,0.0,0.0,0.4013223964701852,0.0,0.0,0.0,0.03051969056611907,0.0,0.0,0.0,0.0,0.0,0.4699717269292546,0.09818618603444124,0.0,0.0,0.0,0.0,0.0
1,-36.059063,6.091205599999999,0.2464895955366584,8,0.06020459401597631,0.0,0.0,0.0,0.07698222712122774,0.0,0.0,0.12041867572397405,0.2464895955366584,0.0,0.0,0.0,0.0,0.0,0.029020486933732076,0.0,0.0,0.22357518247587116,0.0,0.2433092381925604
1,-12.899906,-46.047416999999996,0.4740051737717077,15,0.3675124276491265,0.0,0.0,0.0,0.0,0.0,0.028485042962214064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740051737717077,0.0,0.051847584591094016,0.07149944796041761,0.0
433,3.0334093999999996,-40.397003000000005,0.2931138643812082,1,0.0898704747639508,0.2931138643812082,0.04854880968288078,0.12812125020873327,0.017822513109803113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17049029833468524,0.0,0.0,0.1983626155850795,0.0,0.0,0.044231235017773325,0.0
